Column1,election_year,pc_name,pc_no,type_category,state,winning_candidate,party,electors,votes,turnout,margin,margin_percent
0,1977,Adilabad,35,GEN,Andhra Pradesh,G. Narsimha Reddy,Indian National Congress,548091,310466,56.6,71166,22.9
1,1977,Adoor,17,GEN,Kerala,P. K. Kodiyan,Communist Party Of India,525154,429974,81.9,40567,9.4
2,1977,Agra,73,GEN,Uttar Pradesh ,Shambhu Nath Chaturvedi,Bharatiya Lok Dal,566094,372202,65.8,160552,43.1
3,1977,Ahmedabad,10,GEN,Gujarat,Ahesan Jafri,Indian National Congress,573286,378527,66,10013,2.6
4,1977,Ahmednagar,39,GEN,Maharashtra,Shinde Annasaheb Pandurang,Indian National Congress,575389,334072,58.1,64813,19.4
5,1977,Ajmer,12,GEN,Rajasthan,Srikaran Sharda,Bharatiya Lok Dal,577838,345484,59.8,104248,30.2
6,1977,Akbarpur,27,SC,Uttar Pradesh ,Mangal Deo Visharad,Bharatiya Lok Dal,626897,367714,58.7,211826,57.6
7,1977,Akola,19,GEN,Maharashtra,Sathe Vasantrao Purushottam,Indian National Congress,589719,388243,65.8,61499,15.8
8,1977,Aligarh,76,GEN,Uttar Pradesh ,Nawab Singh Chauhan,Bharatiya Lok Dal,620338,401923,64.8,190758,47.5
9,1977,Alipurduars,2,ST,West Bengal,Pius Tirkey,Revolutionary Socialist Party,523297,312975,59.8,40568,13
10,1977,Allahabad,56,GEN,Uttar Pradesh ,Janeshwar Mishra,Bharatiya Lok Dal,625143,338537,54.2,89988,26.6
11,1977,Alleppey,15,GEN,Kerala,V. M. Sudheeran,Indian National Congress,579976,485659,83.7,64016,13.2
12,1977,Almora,3,GEN,Uttar Pradesh ,Murli Manohar Joshi,Bharatiya Lok Dal,571452,250422,43.8,77476,30.9
13,1977,Alwar,8,GEN,Rajasthan,Ramji Lal Yadav,Bharatiya Lok Dal,570990,318565,55.8,172478,54.1
14,1977,Amalapuram,9,SC,Andhra Pradesh,Kusuma Krishna Murty,Indian National Congress,639473,431758,67.5,135989,31.5
15,1977,Ambala,1,SC,Haryana,Suraj Bhan,Bharatiya Lok Dal,521047,396269,76.1,165494,41.8
16,1977,Amethi,25,GEN,Uttar Pradesh ,Ravindra Pratap Singh,Bharatiya Lok Dal,623256,302826,48.6,75844,25
17,1977,Amravati,21,GEN,Maharashtra,Bonde Nana Mahadeo,Indian National Congress,581266,371352,63.9,160662,43.3
18,1977,Amreli,7,GEN,Gujarat,Dwarkadas Mohanlal Patel,Indian National Congress,494073,267457,54.1,59006,22.1
19,1977,Amritsar,2,GEN,Punjab,Baldev Parkash,Bharatiya Lok Dal,674907,484968,71.9,25041,5.2
20,1977,Amroha,6,GEN,Uttar Pradesh ,Chandrapal Singh,Bharatiya Lok Dal,575748,359728,62.5,136494,37.9
21,1977,Anakapalli,6,GEN,Andhra Pradesh,Appalanaidu S. R. A. S.,Indian National Congress,708066,378738,53.5,35936,9.5
22,1977,Anand,20,GEN,Gujarat,Ajitsinh Fulsinh Dabhi,Indian National Congress,564294,401323,71.1,62779,15.6
23,1977,Anantapur,25,GEN,Andhra Pradesh,Darur Pullaiah,Indian National Congress,640440,401269,62.7,42208,10.5
24,1977,Anantnag,3,GEN,Jammu & Kashmir,Mohd. Shafi Qureshi,Indian National Congress,471302,263112,55.8,8331,3.2
25,1977,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,85308,60590,71,10232,16.9
26,1977,Aonla,11,GEN,Uttar Pradesh ,Brij Raj Singh,Bharatiya Lok Dal,580011,300461,51.8,137188,45.7
27,1977,Arakkonam,6,SC,Tamil Nadu,Alagesan O.V.,Indian National Congress,667308,477910,71.6,57864,12.1
28,1977,Arambagh,28,GEN,West Bengal,Prafulla Chandra Sen,Bharatiya Lok Dal,580700,398708,68.7,207437,52
29,1977,Araria,22,SC,Bihar ,Mahendra Narayan Sardar,Bharatiya Lok Dal,590569,347588,58.9,108534,31.2
30,1977,Arrah,36,GEN,Bihar ,Chandradeo Prasad Verma,Bharatiya Lok Dal,717235,466204,65,210877,45.2
31,1977,Arunachal East,2,GEN,Arunachal Pradesh,Bakin Pertin,Independent,93770,52764,56.3,7648,14.5
32,1977,Arunachal West,1,GEN,Arunachal Pradesh,Rinchin Khandu Khimre,Indian National Congress,121887,0,0,0,0
33,1977,Asansol,38,SC,West Bengal,Robin Sen,Communist Party Of India (MARXIST),647254,287229,44.4,72227,25.1
34,1977,Aska,10,GEN,Orissa,Rama Chandra Rath,Indian National Congress,658693,301729,45.8,3777,1.3
35,1977,Aurangabad,40,GEN,Bihar ,Satyendra Narain Singh,Bharatiya Lok Dal,675445,415024,61.4,120447,29
36,1977,Aurangabad,33,GEN,Maharashtra,Bapu Kaldate,Bharatiya Lok Dal,656996,369030,56.2,57089,15.5
37,1977,Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,227812,100430,44.1,30728,30.6
38,1977,Azamgarh,45,GEN,Uttar Pradesh ,Ram Naresh,Bharatiya Lok Dal,632994,362215,57.2,137810,38
39,1977,Badagara,3,GEN,Kerala,K. P. Unnikrishnan,Indian National Congress,611107,507090,83,8070,1.6
40,1977,Bagaha,1,SC,Bihar ,Jagannath Prasad,Bharatiya Lok Dal,602588,280285,46.5,40688,14.5
41,1977,Bagalkot,27,GEN,Karnataka,Patil Sanganagouda Basangouda,Indian National Congress,626234,366290,58.5,72098,19.7
42,1977,Baghpat,81,GEN,Uttar Pradesh ,Chaudhari Charan Singh,Bharatiya Lok Dal,610712,456968,74.8,121538,26.6
43,1977,Bahraich,31,GEN,Uttar Pradesh ,Om Prakash Tyagi,Bharatiya Lok Dal,653318,313363,48,101419,32.4
44,1977,Balaghat,23,GEN,Madhya Pradesh ,Kacharu Lal Hemraj Jain,Republican Party Of India (KHOBRAGADE),546723,299484,54.8,49708,16.6
45,1977,Balasore,2,ST,Orissa,Samarendra Kundu,Bharatiya Lok Dal,615737,350771,57,59461,17
46,1977,Balia,19,GEN,Bihar ,Ramajiwan Singh,Bharatiya Lok Dal,639621,383287,59.9,47632,12.4
47,1977,Ballia,43,GEN,Uttar Pradesh ,Chandra Shekhar,Bharatiya Lok Dal,661187,369791,55.9,167218,45.2
48,1977,Balrampur,32,GEN,Uttar Pradesh ,Nanaji Deshmukh,Bharatiya Lok Dal,636645,348147,54.7,114006,32.7
49,1977,Balurghat,6,GEN,West Bengal,Palas Barman,Revolutionary Socialist Party,557919,369396,66.2,54563,14.8
50,1977,Banaskantha,14,GEN,Gujarat,Chaudhary Motibhai Ranchhodbhai,Bharatiya Lok Dal,505258,283574,56.1,64783,22.8
51,1977,Banda,59,GEN,Uttar Pradesh ,Ambika Prasad,Bharatiya Lok Dal,562759,295306,52.5,57495,19.5
