,election_year,pc_name,pc_no,electors,male_electors,female_electors,votes_polled,male_voters,female_voters,votes_polled_percentage
0,1977,Adilabad,35,548091,268815,279276,310466,174607,135859,56.6
1,1977,Adoor,17,525154,263071,262083,429974,214007,215967,81.9
2,1977,Agra,73,566094,300832,265262,372202,204814,167388,65.8
3,1977,Ahmedabad,10,573286,311421,261865,378527,213992,164535,66.0
4,1977,Ahmednagar,39,575389,291112,284277,334072,183555,150517,58.1
5,1977,Ajmer,12,577838,292394,285444,345484,186978,158506,59.8
6,1977,Akbarpur,27,626897,332255,294642,367714,218220,149494,58.7
7,1977,Akola,19,589719,307515,282204,388243,209134,179109,65.8
8,1977,Aligarh,76,620338,341453,278885,401923,221218,180705,64.8
9,1977,Alipurduars,2,523297,281252,242045,312975,177173,135802,59.8
10,1977,Allahabad,56,625143,343908,281235,338537,179468,159069,54.2
11,1977,Alleppey,15,579976,286157,293819,485659,238334,247325,83.7
12,1977,Almora,3,571452,267539,303913,250422,151958,98464,43.8
13,1977,Alwar,8,570990,297878,273112,318565,184116,134449,55.8
14,1977,Amalapuram,9,639473,315135,324338,431758,222903,208855,67.5
15,1977,Ambala,1,521047,277520,243527,396269,217539,178730,76.1
16,1977,Amethi,25,623256,331079,292177,302826,170143,132683,48.6
17,1977,Amravati,21,581266,302621,278645,371352,202896,168456,63.9
18,1977,Amreli,7,494073,245424,248649,267457,146548,120909,54.1
19,1977,Amritsar,2,674907,368043,306864,484968,266171,218797,71.9
20,1977,Amroha,6,575748,315458,260290,359728,205182,154546,62.5
21,1977,Anakapalli,6,708066,336232,371834,378738,196434,182304,53.5
22,1977,Anand,20,564294,289524,274770,401323,219356,181967,71.1
23,1977,Anantapur,25,640440,327169,313271,401269,217703,183566,62.7
24,1977,Anantnag,3,471302,216541,254761,263112,167613,95499,55.8
25,1977,Andaman & Nicobar Islands,1,85308,55770,29538,60590,38476,22114,71.0
26,1977,Aonla,11,580011,324557,255454,300461,198598,101863,51.8
27,1977,Arakkonam,6,667308,330167,337141,477910,245285,232625,71.6
28,1977,Arambagh,28,580700,295724,284976,398708,219262,179446,68.7
29,1977,Araria,22,590569,308084,282485,347588,224102,123486,58.9
30,1977,Arrah,36,717235,367219,350016,466204,271392,194812,65.0
31,1977,Arunachal East,2,93770,48437,45333,52764,30802,21962,56.3
32,1977,Arunachal West,1,121887,60876,61011,565106,0,0,60.0
33,1977,Asansol,38,647254,399699,247555,287229,195896,91333,44.4
34,1977,Aska,10,658693,342058,316635,301729,176022,125707,45.8
35,1977,Aurangabad,40,675445,341477,333968,415024,273916,141108,61.4
36,1977,Aurangabad,33,656996,323598,333398,369030,182507,186523,56.2
37,1977,Autonomous District,3,227812,121656,106156,100430,62371,38059,44.1
38,1977,Azamgarh,45,632994,338149,294845,362215,202786,159429,57.2
39,1977,Badagara,3,611107,297342,313765,507090,241597,265493,83.0
40,1977,Bagaha,1,602588,327924,274664,280285,154157,126128,46.5
41,1977,Bagalkot,27,626234,330073,296161,366290,194566,171724,58.5
42,1977,Baghpat,81,610712,339076,271636,456968,274231,182737,74.8
43,1977,Bahraich,31,653318,343935,309383,313363,223311,90052,48.0
44,1977,Balaghat,23,546723,265007,281716,299484,173037,126447,54.8
45,1977,Balasore,2,615737,323750,291987,350771,197528,153243,57.0
46,1977,Balia,19,639621,329106,310515,383287,222684,160603,59.9
47,1977,Ballia,43,661187,364230,296957,369791,227261,142530,55.9
48,1977,Balrampur,32,636645,331070,305575,348147,226891,121256,54.7
49,1977,Balurghat,6,557919,285339,272580,369396,211874,157522,66.2
50,1977,Banaskantha,14,505258,253847,251411,283574,160783,122791,56.1
51,1977,Banda,59,562759,296210,266549,295306,190354,104952,52.5
